State_Name,Projected_population_2020,Population_vaccinated,Number_of_hospital_bed_Public_and_private,HDI
A & N Islands,417036,18132,1294,0.739
Andhra Pradesh,53903393,1611084,83230,0.65
Arunachal Pradesh,1570458,69919,2624,0.66
Assam,35607039,647269,24178,0.614
Bihar,124799926,1917945,30857,0.576
Chandigarh,1158473,64324,5631,0.775
Chhattisgarh,29436231,1341500,17430,0.613
Dadra & Nagar Haveli and Daman & Diu,615724,22324,1363824,0.6855
Delhi,18710922,984655,39455,0.746
Goa,1586250,89508,4584,0.761
Gujarat,63872399,3721583,64862,0.672
Haryana,28204692,908001,36141,0.708
Himachal Pradesh,7451955,367998,16040,0.725
Jammu Kashmir,13606320,599915,7995,0.688
Jharkhand,38593948,1025942,26496,0.599
Karnataka,67562686,2502109,262109,0.682
Kerala,35699443,2303253,99227,0.779
Ladakh,289023,43283,,0.688
Lakshadweep,73183,6197,426,0.75
Madhya Pradesh,85358965,2228256,64939,0.606
Maharashtra,123144223,4278482,231739,0.696
Manipur,3091545,102358,1790,0.696
Meghalaya,3366710,78554,5244,0.656
Mizoram,1239244,62247,2496,0.705
Nagaland,2249695,67934,2561,0.679
Odisha,46356334,1784847,25650,0.606
Puducherry,1413542,48565,5172,0.738
Punjab,30141373,546252,60997,0.723
Rajasthan,81032689,4288901,93176,0.629
Sikkim,690251,61265,1952,0.716
Tamil Nadu,77841267,2086121,155375,0.708
Telangana,38510982,895346,99919,0.669
Tripura,4169794,321731,4667,0.658
Uttar Pradesh,237882725,4132135,281402,0.596
Uttarakhand,11250858,519927,23843,0.684
West Bengal,99609303,3649705,113535,0.641
